"Time (s)","Acceleration (m/s²)"
7.371944795E1,-8.303070068E-2
7.375786930E1,-9.365081787E-3
7.379629066E1,2.699661255E-2
7.383471191E1,1.044816971E-1
7.387313326E1,-4.876041412E-2
7.391155451E1,-9.766578674E-3
7.394997586E1,-5.153846741E-2
7.398839712E1,-3.358078003E-2
7.402681847E1,-6.148242950E-2
7.406523972E1,4.312324524E-2
7.410366097E1,-9.993553162E-3
7.414208232E1,5.767250061E-2
7.418050357E1,2.814769745E-2
7.421892493E1,-9.655284882E-2
7.425734618E1,-9.792804718E-2
7.429576743E1,6.827640533E-2
7.433418868E1,9.163570404E-2
7.437261003E1,-9.647369385E-2
7.441103128E1,-6.099033356E-2
7.444945253E1,-5.546569824E-3
7.448787378E1,1.938819885E-2
7.452629503E1,7.279872894E-2
7.456471628E1,-3.814029694E-2
7.460313753E1,-6.906986237E-2
7.464155889E1,-7.003879547E-2
7.467998003E1,6.415176392E-2
7.471840128E1,1.078767776E-1
7.475682253E1,-1.097583771E-2
7.479524378E1,-6.831073761E-2
7.483366503E1,-1.685810089E-2
7.487208628E1,2.893543243E-2
7.491050753E1,1.249122620E-2
7.494892868E1,-1.751899719E-3
7.498734993E1,2.962684631E-2
7.502577118E1,4.216957092E-2
7.506419232E1,-2.653026581E-2
7.510261357E1,-3.034973145E-2
7.514103472E1,-1.157665253E-2
7.517945597E1,4.726219177E-2
7.521787712E1,2.065753937E-2
7.525629826E1,-1.935005188E-3
7.529471951E1,-6.273269653E-3
7.533314066E1,6.003093719E-2
7.537156180E1,-5.382537842E-3
7.540998295E1,5.617141724E-4
7.544840409E1,2.763748169E-3
7.548682524E1,8.160591125E-3
7.552524639E1,8.734703064E-3
7.556366753E1,7.047653198E-3
7.560208868E1,-2.244091034E-2
7.564050982E1,1.033401489E-2
7.567893097E1,3.533267975E-2
7.571735201E1,-1.726436615E-2
7.575577316E1,-4.178905487E-2
7.579419430E1,3.135013580E-2
7.583261534E1,6.500434875E-2
7.587103649E1,-2.753734589E-2
7.590945753E1,-5.920314789E-2
7.594787857E1,1.175022125E-2
7.598629972E1,7.797145844E-2
7.602472076E1,5.772590637E-3
7.606314180E1,-5.602645874E-2
7.610156284E1,-1.096343994E-2
7.613998389E1,7.351970673E-2
7.617840493E1,4.182147980E-2
7.621682597E1,-6.257152557E-2
7.625524701E1,1.898765564E-3
7.629366805E1,8.475303650E-3
7.633208909E1,-1.665592194E-2
7.637051014E1,-2.112388611E-2
7.640893107E1,-1.839637756E-3
7.644735212E1,7.644844055E-2
7.648577316E1,-6.812095642E-3
7.652419409E1,-3.872776031E-2
7.656261514E1,-3.725337982E-2
7.660103618E1,2.084732056E-3
7.663945712E1,-2.261066437E-2
7.667787816E1,3.361606598E-2
7.671629909E1,-2.445507050E-2
7.675472003E1,-2.170753479E-2
7.679314107E1,-9.090423584E-3
